Index 389:  Andrzejczak Mlak 
Index 391:  Kildarewicz Barcikowski 
Index 392:  Boni 
Index 393:  Kita 
Index 394:  Mewa Kral 
Index 397:  Chmielowski Kula Wenc 
Index 398:  Ryba 
Index 399:  Majchrowicz Stec Wina Ksel 
Index 400:  Alot Mysliwiecka Aron Wawa 
Index 401:  Badurzewska Kisielewicz 
Index 403:  Oles Spek Sienkiewicz 
Index 406:  Lewandowski Kwasniewska 
Index 408:  Krol Bryk 
Index 409:  Pazdziernik 
Index 412:  Knot 
Index 413:  Kruk 
Index 414:  Inny Krul Jedruszczak 
Index 415:  Ludziejewsk 
Index 416:  Bronikowski 
Index 417:  Lewy 
Index 418:  Sliz 
Index 419:  Szczepanski Augustyniak 
Index 420:  Pyza 
Index 422:  Anyzkiewicz Kwiatkowski Prasilowski Poniatowski 
Index 423:  Skretkowska 
Index 429:  Kusz 
Index 430:  Luty 
Index 431:  Tomaszewski 
Index 432:  Skoczkowski 
Index 436:  Augustowski Slomczynski 
Index 445:  Reszczynski 
Index 455:  Zwierzynski 
Index 466:  Bajda 
Index 468:  Hebda 
Index 472:  Hajda 
Index 474:  Magda 
Index 476:  Beben 
Index 479:  Balickiewicz Kadej 
Index 480:  Banan 
Index 481:  Basaj Rabka 
Index 483:  Kabat 
Index 484:  Bajer Kalka Raban Baran Majka Beblo 
Index 485:  Banas Kaber 
Index 486:  Gibki Babul Jader Carek 
Index 487:  Golda 
Index 488:  Majek Barankiewicz Manka 
Index 489:  Baras Zajac Bugaj 
Index 490:  Basik Jasak 
Index 491:  Jonca Wanad Lubec 
Index 492:  Balon Kojec 
Index 493:  Dudek Bawar Bujak Matlachowska 
Index 494:  Malik Cisna Bajor Socha 
Index 495:  Cisek 
Index 496:  Gorec Hajdukiewicz Krema Mieta 
Index 497:  Rodak Bialy 
Index 498:  Boran Milek 
Index 499:  Bialosiewicz Linek Borek Aniol Telma 
Index 500:  Banasikowski Gates 
Index 501:  Rodek 
Index 502:  Faron Warka 
Index 503:  Polak Bitwa 
Index 504:  Bator Hardy Dobrosielski 
Index 505:  Rybak Koska 
Index 506:  Rolla 
Index 507:  Piglo Komik 
Index 508:  Lewik Bodny 
Index 509:  Tkacz Chudy Kamyk Maron Sarre Sasim Katon 
Index 510:  Barylkiewicz Kowal Beryl 
Index 511:  Witaj Andrzejewski Socko Draus 
Index 512:  Sliwa Nowak 
Index 514:  Garus 
Index 515:  Kusek Suder Groza 
Index 517:  Dyzma Krolikiewicz 
Index 518:  Nieweglowski Lowik 
Index 519:  Dusza 
Index 520:  Ludziejewski Witas Tutaj Nowik Rorat 
Index 523:  Turek Linus 
Index 524:  Kupis 
Index 525:  Wosik 
Index 527:  Gorny Konny 
Index 528:  Zazemblowski 
Index 531:  Mazurkiewicz Korzeniewski 
Index 533:  Bartoszewicz 
Index 534:  Bartoszewski 
Index 535:  Pytko 
Index 537:  Wolny Szczygielski 
Index 538:  Gliszczynska 
Index 539:  Wrzesniewska 
Index 541:  Staniszewski 
Index 545:  Mrusz 
Index 546:  Sznur 
Index 547:  Dyszy 
Index 551:  Wozny zydek 
Index 552:  Muraszkowski 
Index 555:  zylka 
Index 567:  Chebda 
Index 572:  Balica 
Index 573:  Banach Bajdak 
Index 575:  Badera 
Index 577:  Bachen 
Index 579:  Adamek 
Index 580:  Halama 
Index 583:  Babula 
Index 584:  Bialek Bielak 
Index 585:  Dubala Fichna 
Index 586:  Biegar 
Index 587:  BartoS Babicz 
Index 588:  Cebula 
Index 591:  Badura Arecki 
Index 592:  Baczek Katana Kmicic Chwala 
Index 594:  Mateja Kaleta 
Index 595:  Jasiak 
Index 596:  Blocki Bielaw Cichon 
Index 598:  Blasik Jochem 
Index 600:  Bansik 
Index 601:  Klimka 
Index 602:  Bapski 
Index 603:  Adamus Baryla Chomik 
Index 604:  Chylak Barski Gierat 
Index 605:  Janota 
Index 606:  Kratka Knapik Cupial Piatek Piatek 
Index 607:  Wojciechowska 
Index 608:  Bawicz Binski Pawlak Helski Alotek Sareta Hentel Glauer Melnik 
Index 609:  Papier 
Index 610:  Misiek 
Index 611:  Banaszkiewicz 
Index 612:  Buczek 
Index 613:  Sekula Sztaba 
Index 614:  Wlodek 
Index 615:  Smolka Wojciechowski Wojcik Konska 
Index 616:  Kitlas Pawlik Byczek Kaluza Milion 
Index 617:  Kinski 
Index 618:  Kaczor Holski 
Index 619:  Szojda Wrobel 
Index 620:  Lipski Pilski 
Index 621:  Andrus Kwolek Boruta 
Index 622:  Paszek Gawron Krason Kardys 
Index 623:  Gorski Myrcik Kantor 
Index 624:  Szwaja Suchon 
Index 625:  Batory Magosz Wcislo Bartus 
Index 626:  Piwnik 
Index 627:  Kaktus Brylok 
Index 628:  Küttner 
Index 629:  Grzmil Frymarkiewicz 
Index 631:  Rokpol 
Index 632:  Blotny Salezy Wojtas Wolicz Mrozek 
Index 633:  Wolski Musiol 
Index 635:  Prokop Nawrot 
Index 636:  Wtorek Krosno Szybki 
Index 637:  Piorun Drozdz 
Index 638:  zogala Wawron 
Index 640:  Augustyneczek Rurski 
Index 641:  Tomkow Sularz 
Index 642:  Orczyk 
Index 643:  Porwol 
Index 645:  Zmelty 
Index 648:  Rokosz 
Index 656:  Kotusz 
Index 660:  Myszor 
Index 668:  zwirek 
Index 672:  Powietrzynski 
Index 673:  Babecki 
Index 676:  Adamiec 
Index 680:  Bebanek 
Index 684:  Bebenek 
Index 685:  Bandera 
Index 687:  Bakucha Balicki 
Index 691:  Alancki 
Index 692:  Baranek 
Index 693:  Bielawa 
Index 694:  Bargiel 
Index 695:  Bieniek 
Index 696:  Kalicki Barabuk 
Index 697:  Banasik Latacki 
Index 698:  Adamski Majcher 
Index 700:  Kildare Cieslak 
Index 701:  Kanarek 
Index 703:  Chwalek 
